Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Battery_Pack Kwh,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,,INR
Ford,Mustang Mach-E ER AWD,6,180,430,88,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,,5676725
BMW,i3s 120 Ah,6.9,160,230,37.9,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,,3747721.5
Skoda,Enyaq iV 80X,7,160,400,77,193,540,No,AWD,Type 2 CCS,SUV,C,5,,4061250
Porsche,Taycan Cross Turismo,3.5,250,385,83.7,217,770,Yes,AWD,Type 2 CCS,Station,F,4,,13537500
Byton,M-Byte 95 kWh 4WD,5.5,190,390,95,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,,5776000
Sono,Sion,9,140,225,35,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,,2301375
Kia,e-Niro 39 kWh,9.8,155,235,39,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,,3104600
Audi,Q4 Sportback e-tron,6.3,180,410,77,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,,5189375
Smart,EQ forfour,12.7,130,95,16.7,176,200,No,RWD,Type 2,Hatchback,A,4,,1988207.5
Ford,Mustang Mach-E SR AWD,6,180,340,88,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,,4873500
Porsche,Taycan Turbo,3.2,260,390,83.7,215,810,No,AWD,Type 2 CCS,Sedan,F,4,,13384165.25
Volkswagen,ID.3 1st,7.3,160,340,58,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,,3518576.75
Tesla,Model X Performance,2.8,250,440,90,216,480,Yes,AWD,Type 2,SUV,F,7,,9294847.5
Smart,EQ fortwo coupe,11.6,130,100,16.7,167,200,No,RWD,Type 2,Hatchback,A,2,,1930176.75
Ford,Mustang Mach-E SR RWD,6.6,180,360,88,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,,4232725
Mercedes,EQV 300 Long,10,140,330,90,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,,6374447.75
Fiat,500e Hatchback,9,150,250,37.3,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,,3149725
Tesla,Cybertruck Single Motor,7,180,390,100,256,740,No,RWD,Type 2 CCS,Pickup,N,6,,4061250
Audi,e-tron Sportback 50 quattro,6.8,190,295,64.7,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,,6276977.75
