mobile_price,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16999,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16939,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
16999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
14999,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
16999,15.21,2332800,7,8,2.5,128,6,3400,75.49,151.86,7.7,185
24999,16.23,2527200,9,8,2.84,128,6,4000,74.3,156.7,8.8,191
17350,15.44,1123200,9,8,2,128,6,4030,71.85,153.48,8.475,173.8
29999,16.23,2527200,9,8,2.84,256,8,4000,74.3,156.7,8.8,191
13999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
21999,16.23,2527200,9,8,2.2,64,6,4000,74.3,156.7,8.8,191
13495,15.21,1036800,8,8,2,64,4,3080,77.26,160.73,8.1,168
29999,16.23,2527200,9,8,2.84,256,8,4000,74.3,156.7,8.8,191
24999,16.23,2527200,9,8,2.2,128,6,4000,74.3,156.7,8.8,191
15990,15.9,2462400,8,8,1.8,64,4,4000,76.4,157.9,8.26,181
13999,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
55799,16.94,2527200,10,8,2.84,256,8,4780,74.8,162.58,8.96,209
51800,16.94,2527200,10,8,2.84,128,8,4780,74.8,162.58,8.96,209
24999,16.23,2527200,9,8,2.2,128,6,4000,74.3,156.7,8.8,191
16899,15.21,2332800,8,8,2.2,128,6,3010,75.4,158.7,7.3,168
16899,15.21,2332800,8,8,2.2,128,6,3010,75.4,158.7,7.3,168
24999,16.23,2527200,9,8,2.2,128,6,4000,74.3,156.7,8.8,191
16899,15.21,2332800,8,8,2.2,128,6,3010,75.4,158.7,7.3,168
16999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
24999,16.23,2527200,9,8,2.2,128,6,4000,74.3,156.7,8.8,191
13999,12.7,2073600,4,4,2.3,16,2,3050,73.6,144,8.1,145
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188
9799,15.8,1094400,9,8,1.95,64,4,5000,75.41,156.48,9.4,188
12999,15.46,1123200,9,8,2,64,4,4030,71.85,153.48,8.475,173.8
14999,16.94,2592000,10,8,2.3,128,6,5020,76.68,165.75,8.8,209
14999,16.94,2592000,10,8,2.3,128,6,5020,76.68,165.75,8.8,209
16998,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209
7399,15.8,1094400,9,8,2,32,2,5000,9,175,92,186
7499,15.8,1094400,9,8,2,32,3,5000,9,175,92,186
11199,16,2462400,9,8,2,64,4,4000,8.35,158.3,75.3,190
13261,16,2462400,9,8,2,128,6,4000,8.35,158.3,75.3,190
10978,16,2462400,9,8,2,32,3,4000,8.35,158.3,75.3,190
12999,15.46,1123200,9,8,2,64,4,4030,71.85,153.48,8.475,173.8
12999,15.46,1123200,9,8,2,64,4,4030,71.85,153.48,8.475,173.8
11280,16,2462400,9,8,2,64,4,4000,8.35,158.3,75.3,190
10100,16,2462400,9,8,2,64,4,4000,8.35,158.3,75.3,190
7450,15.8,1094400,9,8,2,32,3,5000,9,175,92,186
12999,16,2527200,9,8,2,64,6,4000,75.21,159.21,8.1,186
29999,16.23,2527200,9,8,2.84,256,8,4000,74.3,156.7,8.8,191
12999,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209
12999,16.94,2592000,10,8,2.3,64,4,5020,76.68,165.75,8.8,209
7499,15.8,1094400,9,8,2,32,3,5000,9,175,92,186
11999,15.9,2462400,8,8,1.8,64,6,4000,76.4,157.9,8.26,181
11999,15.9,2462400,8,8,1.8,64,6,4000,76.4,157.9,8.26,181
12999,13.97,2073600,6,8,2,64,4,4100,76,151,8.4,165
11999,15.9,2462400,8,8,1.8,64,6,4000,76.4,157.9,8.26,181
21999,16.23,2527200,9,8,2.2,64,6,4000,74.3,156.7,8.8,191
12999,15.21,2332800,7,8,1.8,64,4,4000,75.35,158.58,8.05,181
13999,16,2527200,9,8,2,128,6,4000,75.21,159.21,8.1,186
16999,16.94,2592000,10,8,2.3,128,6,5020,76.68,165.5,8.8,209
16999,16.94,2592000,10,8,2.3,128,6,5020,76.68,165.5,8.8,209
6999,15.8,1094400,9,8,1.95,32,2,5000,75.41,156.48,9.4,188
10999,16,2527200,9,8,2,64,4,4000,75.21,159.21,8.1,186
55400,16.94,2527200,10,8,2.84,256,8,4780,74.8,162.58,8.96,209
13999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
16999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
12999,15.21,2332800,7,8,1.8,64,4,4000,75.35,158.58,8.05,181
13999,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
17999,15.21,2332800,7,8,1.8,64,6,4000,75.35,158.58,8.05,181
13999,15.21,2332800,8,8,2.2,64,4,3010,75.4,158.7,7.3,168
6700,12.7,921600,8,4,1.4,16,1,3000,70.1,140.4,8.35,137
